id_department,id_criteria
46,1
46,14
46,15
46,18
46,19
46,21
46,23
46,28
46,29
46,30
46,31
46,32
46,34
46,35
46,36
46,38
46,40
46,41
46,55
46,56
46,57
46,65
46,70
46,74
46,75
46,76
46,77
46,86
46,89
46,90
46,92
46,93
46,94
46,95
46,96
46,97
46,102
46,109
46,110
46,111
46,112
46,114
46,128
46,129
46,130
46,131
46,133
46,135
46,137
46,138
46,139
46,140
46,141
46,158
46,159
46,164
46,165
46,166
46,172
46,175
46,176
46,177
46,178
46,179
46,180
46,181
46,182
46,183
46,187
46,188
46,191
47,1
47,14
47,15
47,18
47,19
47,21
47,23
47,28
47,29
47,30
47,31
47,32
47,34
47,35
47,36
47,38
47,40
47,41
47,55
47,56
47,57
47,65
47,70
47,74
47,75
47,76
47,77
47,86
47,89
47,90
47,92
47,93
47,94
47,95
47,96
47,97
47,102
47,109
47,110
47,111
47,112
47,114
47,128
47,129
47,130
47,131
47,133
47,135
47,137
47,138
47,139
47,140
47,141
47,158
47,159
47,164
47,165
47,166
47,172
47,175
47,176
47,177
47,178
47,179
47,180
47,181
47,182
47,183
47,187
47,188
47,191
