id_department,id_criteria
50,1
50,14
50,15
50,16
50,18
50,19
50,21
50,22
50,23
50,25
50,29
50,30
50,31
50,32
50,33
50,34
50,35
50,36
50,37
50,38
50,40
50,41
50,49
50,52
50,55
50,58
50,63
50,65
50,67
50,70
50,71
50,73
50,74
50,75
50,76
50,77
50,78
50,79
50,81
50,82
50,83
50,84
50,85
50,86
50,89
50,90
50,92
50,93
50,95
50,102
50,109
50,110
50,111
50,112
50,113
50,114
50,115
50,116
50,117
50,118
50,119
50,130
50,132
50,143
50,144
50,145
50,146
50,148
50,149
50,152
50,153
50,154
50,155
50,156
50,160
50,161
50,162
50,163
50,164
50,165
50,166
50,172
50,175
50,176
50,177
50,178
50,179
50,180
50,181
50,182
50,183
50,187
50,188
50,191
